2026-08-09 10:49:35 | INFO     | orders.order_manager         | [2025-03-06 03:30:00] ORDER CREATED: BUY EURUSD target_notional=3244.59 lots=0.03 (regime=trending; trend-following (primary) says up; mean-reversion (secondary) conflicts with primary; shrink=0.942)
2026-08-09 10:49:35 | WARNING  | orders.order_manager         | [2025-03-06 03:30:00] ORDER REJECTED: BUY EURUSD — margin required (32.45) exceeds usable free cash (-5819.56 after 10% safety buffer) — account cannot support this position at current leverage
2026-08-09 10:49:35 | INFO     | orders.order_manager         | [2025-03-06 04:00:00] ORDER CREATED: BUY EURUSD target_notional=5.75 lots=None (regime=trending; trend-following (primary) says up; mean-reversion (secondary) agrees with primary; shrink=0.001)
2026-08-09 10:49:35 | WARNING  | orders.order_manager         | [2025-03-06 04:00:00] ORDER REJECTED: BUY EURUSD — desired size rounds to 0.0000 lots, below the broker minimum of 0.001 lots — account too small for this trade's risk-scaled size
2026-08-09 10:49:35 | INFO     | orders.order_manager         | [2025-03-06 04:30:00] ORDER CREATED: BUY EURUSD target_notional=8.48 lots=None (regime=trending; trend-following (primary) says up; mean-reversion (secondary) agrees with primary; shrink=0.002)
2026-08-09 10:49:35 | WARNING  | orders.order_manager         | [2025-03-06 04:30:00] ORDER REJECTED: BUY EURUSD — desired size rounds to 0.0000 lots, below the broker minimum of 0.001 lots — account too small for this trade's risk-scaled size
2026-08-09 10:49:35 | INFO     | orders.order_manager         | [2025-03-06 05:00:00] ORDER CREATED: BUY EURUSD target_notional=5.75 lots=None (regime=trending; trend-following (primary) says up; mean-reversion (secondary) agrees with primary; shrink=0.001)
2026-08-09 10:49:35 | WARNING  | orders.order_manager         | [2025-03-06 05:00:00] ORDER REJECTED: BUY EURUSD — desired size rounds to 0.0000 lots, below the broker minimum of 0.001 lots — account too small for this trade's risk-scaled size
2026-08-09 10:49:35 | INFO     | orders.order_manager         | [2025-03-06 05:30:00] ORDER CREATED: BUY EURUSD target_notional=5.75 lots=None (regime=trending; trend-following (primary) says up; mean-reversion (secondary) agrees with primary; shrink=0.001)
2026-08-09 10:49:35 | WARNING  | orders.order_manager         | [2025-03-06 05:30:00] ORDER REJECTED: BUY EURUSD — desired size rounds to 0.0000 lots, below the broker minimum of 0.001 lots — account too small for this trade's risk-scaled size
2026-08-09 10:49:36 | INFO     | orders.order_manager         | [2025-03-06 06:00:00] ORDER CREATED: BUY EURUSD target_notional=3.93 lots=None (regime=trending; trend-following (primary) says up; mean-reversion (secondary) agrees with primary; shrink=0.001)
2026-08-09 10:49:36 | WARNING  | orders.order_manager         | [2025-03-06 06:00:00] ORDER REJECTED: BUY EURUSD — desired size rounds to 0.0000 lots, below the broker minimum of 0.001 lots — account too small for this trade's risk-scaled size
2026-08-09 10:49:36 | INFO     | orders.order_manager         | [2025-03-06 06:30:00] ORDER CREATED: BUY EURUSD target_notional=3.93 lots=None (regime=trending; trend-following (primary) says up; mean-reversion (secondary) agrees with primary; shrink=0.001)
2026-08-09 10:49:36 | WARNING  | orders.order_manager         | [2025-03-06 06:30:00] ORDER REJECTED: BUY EURUSD — desired size rounds to 0.0000 lots, below the broker minimum of 0.001 lots — account too small for this trade's risk-scaled size
2026-08-09 10:49:36 | INFO     | orders.order_manager         | [2025-03-06 07:00:00] ORDER CREATED: BUY EURUSD target_notional=2.71 lots=None (regime=trending; trend-following (primary) says up; mean-reversion (secondary) agrees with primary; shrink=0.001)
2026-08-09 10:49:36 | WARNING  | orders.order_manager         | [2025-03-06 07:00:00] ORDER REJECTED: BUY EURUSD — desired size rounds to 0.0000 lots, below the broker minimum of 0.001 lots — account too small for this trade's risk-scaled size
2026-08-09 10:49:36 | INFO     | orders.order_manager         | [2025-03-06 07:30:00] ORDER CREATED: BUY EURUSD target_notional=2.71 lots=None (regime=trending; trend-following (primary) says up; mean-reversion (secondary) agrees with primary; shrink=0.001)
2026-08-09 10:49:36 | WARNING  | orders.order_manager         | [2025-03-06 07:30:00] ORDER REJECTED: BUY EURUSD — desired size rounds to 0.0000 lots, below the broker minimum of 0.001 lots — account too small for this trade's risk-scaled size
2026-08-09 10:49:36 | INFO     | orders.order_manager         | [2025-03-06 15:00:00] ORDER CREATED: BUY EURUSD target_notional=3244.50 lots=0.03 (regime=trending; trend-following (primary) says up; mean-reversion (secondary) conflicts with primary; shrink=0.891)
2026-08-09 10:49:36 | WARNING  | orders.order_manager         | [2025-03-06 15:00:00] ORDER REJECTED: BUY EURUSD — margin required (32.44) exceeds usable free cash (-5819.29 after 10% safety buffer) — account cannot support this position at current leverage
